per_model_file,target,learner,cv,experiment,n_train,n_test,R2,MAE,RMSE,MRE
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter28_seed27042,71775.0,17944.0,0.5256111255701044,148.99417248185512,391.0626773533784,168.0377625519534
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter29_seed28042,71775.0,17944.0,0.5350885762531937,152.16388846284417,411.99395286146665,168.44833928424626
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter30_seed29042,71775.0,17944.0,0.5462642489093259,150.10532803011898,399.07147032843545,165.0539722791427
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter01_seed42,71775.0,17944.0,0.2900054807932588,192.60173298788237,492.21043200976897,354.08638992813945
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter02_seed1042,71775.0,17944.0,0.3087358396414281,190.25941798712185,477.8276255287576,350.0485949472892
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter03_seed2042,71775.0,17944.0,0.2953508773065614,191.72216728518893,505.37766007566097,326.3019938314002
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter04_seed3042,71775.0,17944.0,0.3038402435543893,190.80110651381304,489.3441689020394,342.11160064336633
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter05_seed4042,71775.0,17944.0,0.2934390128916714,192.6643682617569,495.5644698140457,346.0568348392477
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter06_seed5042,71775.0,17944.0,0.2875046870432477,189.61229422894883,476.8405553781863,346.85327202266126
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter07_seed6042,71775.0,17944.0,0.2907025132788956,192.5769277875735,492.3983225617284,340.2860961074049
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter08_seed7042,71775.0,17944.0,0.3024290775838127,189.5575119277855,491.0658318579451,343.52378410419504
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter09_seed8042,71775.0,17944.0,0.2876717218690775,194.0896924081297,504.70539568703595,339.1711844839996
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter10_seed9042,71775.0,17944.0,0.2944077540234147,187.83986518780335,487.05742379160665,353.496990101197
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter11_seed10042,71775.0,17944.0,0.2972851644687572,196.31287880900388,519.0173327169305,356.465386132506
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter12_seed11042,71775.0,17944.0,0.2975255339943786,192.01412171885963,477.7527543754075,346.8044278894338
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter13_seed12042,71775.0,17944.0,0.2813104831354478,193.04352530264077,498.40658706400734,338.2822249159102
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter14_seed13042,71775.0,17944.0,0.2977993419817636,193.5038019884588,493.7193888070788,326.8847035662503
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter15_seed14042,71775.0,17944.0,0.2973750754662992,194.30310317470784,505.83026593005513,328.5406220906143
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter16_seed15042,71775.0,17944.0,0.2931188034925491,191.00103623065112,472.6585107913013,338.2128442707713
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter17_seed16042,71775.0,17944.0,0.2898680943745234,196.98312683396085,516.2063946290214,348.4371176398677
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter18_seed17042,71775.0,17944.0,0.2756716909721175,193.35250381724097,475.4436432032657,330.35792256820156
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter19_seed18042,71775.0,17944.0,0.2885204574526433,196.0767674732845,497.3388006254957,364.92485717639465
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter20_seed19042,71775.0,17944.0,0.2849423739386947,193.4203606219475,497.7943173860451,354.91594734072424
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter21_seed20042,71775.0,17944.0,0.289738200924547,190.4289166546784,485.723142875764,349.99031535712
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter22_seed21042,71775.0,17944.0,0.277381428124266,194.7213539932941,509.3810887026803,343.50758893678227
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter23_seed22042,71775.0,17944.0,0.2862756558549272,192.07820761846537,504.33268142787114,340.9518028937272
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter24_seed23042,71775.0,17944.0,0.3006392624394547,195.4492115541356,506.88784674080455,330.1036258003658
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter25_seed24042,71775.0,17944.0,0.2913282739401877,193.4435025973758,491.2431938843925,348.36229657171816
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter26_seed25042,71775.0,17944.0,0.293296103745865,188.76196088490295,503.02504546031753,332.9314598370243
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter27_seed26042,71775.0,17944.0,0.2932185598399903,195.39005405350244,515.4249009144154,325.5161278091221
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter28_seed27042,71775.0,17944.0,0.3151086770451399,190.32278848632063,469.8832389319908,340.1155456421036
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter29_seed28042,71775.0,17944.0,0.290640165765807,194.58315902356432,508.9077090700551,341.8266372079895
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,ridge,split80_20,baseline_split80_ridge_iter30_seed29042,71775.0,17944.0,0.2957694483761328,191.47836949010124,497.17194324924617,334.81058155540916
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter01_seed42,4820.0,1205.0,0.2898838605209833,150.23419774670094,354.5202479855813,1002.2071001795348
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter02_seed1042,4820.0,1205.0,0.2099342840472006,152.56066493388465,334.833366937527,1041.463082081228
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter03_seed2042,4820.0,1205.0,0.1390237326399571,153.98759446801574,339.8480400094351,1070.5391016245767
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter04_seed3042,4820.0,1205.0,0.3339938967651239,151.28904184764315,354.7726158528054,1026.1434238523232
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter05_seed4042,4820.0,1205.0,0.3130545838469835,163.2080086690988,395.573677198546,1012.796817130972
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter06_seed5042,4820.0,1205.0,0.2265459624806414,148.67489758518437,367.0964445650313,1059.5130545932884
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter07_seed6042,4820.0,1205.0,0.1398657606981652,140.15315319738048,311.24005677829564,1041.6979027616642
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter08_seed7042,4820.0,1205.0,0.1991233333704771,154.37970420117713,351.6250497835702,1060.9845602198511
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,llm_pilot,split80_20,baseline_split80_llm_pilot_iter09_seed8042,4820.0,1205.0,0.1808288968677602,152.5979766068723,341.25956329364374,984.7478203262948
