LLM,Metric,Method,Rank,Mean,Std,IQR,n_runs
bigcode_starcoder,MRE,rf,1,101.69433643903875,1.4458516557946521,1.6448510618823065,30
bigcode_starcoder,MRE,ridge,6,255.3332028636146,4.35787187808404,4.256452142759656,30
bigcode_starcoder,MRE,dcpl_gate_lr,6,112.36104360186137,2.5290992603880325,3.4996862134009916,30
bigcode_starcoder,MRE,dcpl_gate_nn,3,107.15822259323372,7.824681784009798,8.014811361400206,30
bigcode_starcoder,MRE,dcpl_gate_rf,2,103.13155061572213,1.676588297131276,1.661697499763335,30
bigcode_starcoder,MRE,dcpl_gate_ridge,4,112.36105307705586,2.5290391920897943,3.499143527802673,30
bigscience_mt0-xxl,R2,DaL,7,0.10584515457676567,0.05466217164081249,0.03614647600112497,28
bigscience_mt0-xxl,R2,llm_pilot,1,0.44230336879942445,0.055565867626714706,0.04075118157816876,30
bigscience_mt0-xxl,R2,lr,5,0.2774145621341339,0.02452416076471206,0.03638580472479058,30
bigscience_mt0-xxl,R2,nn,5,0.380366024409012,0.0684525039725831,0.11655847447329909,30
bigscience_mt0-xxl,R2,rf,5,0.3347491833894614,0.08970930297423362,0.09273934232771158,30
bigscience_mt0-xxl,R2,ridge,6,0.27741695163185814,0.024517425030770056,0.03637613665303285,30
bigscience_mt0-xxl,R2,dcpl_gate_lr,3,0.3892789587631111,0.04926953516854925,0.049033480734511914,30
bigscience_mt0-xxl,R2,dcpl_gate_nn,4,0.39988735265376324,0.05228680627752837,0.03971219865459247,30
bigscience_mt0-xxl,R2,dcpl_gate_rf,4,0.3546515754810313,0.06672408106214388,0.09065846088308543,30
bigscience_mt0-xxl,R2,dcpl_gate_ridge,2,0.38927938085068414,0.04926942710802152,0.04903221210864245,30
bigscience_mt0-xxl,MAE,DaL,6,221.3983140577138,12.615036152277593,9.800578148887439,28
bigscience_mt0-xxl,MAE,llm_pilot,5,158.11557123141034,7.436218526228763,10.209931576311163,30
bigscience_mt0-xxl,MAE,lr,5,197.23134400200726,7.093178939646735,11.51354288093873,30
bigscience_mt0-xxl,MAE,nn,4,175.0674692805739,12.778344606796704,18.184184728229894,30
bigscience_mt0-xxl,MAE,rf,3,164.98954970348424,9.019560576665144,13.805500072952924,30
bigscience_mt0-xxl,MAE,ridge,3,197.2229144264582,7.0933672314510074,11.512644811429055,30
bigscience_mt0-xxl,MAE,dcpl_gate_lr,3,165.13664159750988,8.603425155609875,9.438418147755613,30
bigscience_mt0-xxl,MAE,dcpl_gate_nn,3,161.6300323142445,10.404614040467994,12.902030704779861,30
bigscience_mt0-xxl,MAE,dcpl_gate_rf,1,164.90410029707292,8.972715834476103,13.03977642910786,30
bigscience_mt0-xxl,MAE,dcpl_gate_ridge,2,165.13596990944592,8.602283139102695,9.43747555592168,30
bigscience_mt0-xxl,RMSE,DaL,6,502.53139240133635,11.630607156173168,10.046377271216727,28
bigscience_mt0-xxl,RMSE,llm_pilot,3,391.8992857716421,34.16729037216141,34.70613448405925,30
bigscience_mt0-xxl,RMSE,lr,3,447.15256424940645,40.770959303119476,44.99745797070591,30
bigscience_mt0-xxl,RMSE,nn,2,413.14044012823723,39.42960749101469,63.1619883501088,30
bigscience_mt0-xxl,RMSE,rf,5,427.47628624091726,39.78138919906589,58.1193090199551,30
bigscience_mt0-xxl,RMSE,ridge,4,447.15211286114396,40.773368835192976,45.001334978146986,30
bigscience_mt0-xxl,RMSE,dcpl_gate_lr,4,410.72757629566735,39.232761766743124,41.902714218472056,30
bigscience_mt0-xxl,RMSE,dcpl_gate_nn,4,406.92941216245595,37.51071258354926,32.14974895288378,30
bigscience_mt0-xxl,RMSE,dcpl_gate_rf,4,421.7867090866277,40.2297561985757,57.991367958282865,30
bigscience_mt0-xxl,RMSE,dcpl_gate_ridge,1,410.7274315037426,39.23269735825754,41.902164822101554,30
bigscience_mt0-xxl,MRE,DaL,7,538.1291889892904,130.93610410636688,51.35238056719436,28
bigscience_mt0-xxl,MRE,llm_pilot,4,217.35467658525653,8.590254195265457,13.730317226375263,30
bigscience_mt0-xxl,MRE,lr,4,289.3321932686653,18.683664164969695,27.183491751105123,30
bigscience_mt0-xxl,MRE,nn,1,231.9792441214826,63.56348205204429,77.46282188622368,30
bigscience_mt0-xxl,MRE,rf,1,189.20202295882976,12.518278291559305,18.562328883134,30
bigscience_mt0-xxl,MRE,ridge,6,289.2838627780785,18.677747701790043,27.170395322418813,30
bigscience_mt0-xxl,MRE,dcpl_gate_lr,6,266.75126237706263,27.077633676734365,23.402703628016013,30
bigscience_mt0-xxl,MRE,dcpl_gate_nn,3,236.92392004087736,47.03351083872362,47.138731183297296,30
bigscience_mt0-xxl,MRE,dcpl_gate_rf,2,222.53010985543878,15.738544604846433,21.242951517719035,30
bigscience_mt0-xxl,MRE,dcpl_gate_ridge,5,266.7474247919221,27.07079116192958,23.40007946741349,30
google_flan-t5-xl,R2,DaL,8,0.13498578721446253,0.032905600842071975,0.024504452494844536,30
