per_model_file,target,cv,learner,framework,R2,MAE,RMSE,MRE
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.3266702615510816,284.6486552035491,626.4812498485809,1018.5373119848958
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.3235937717798851,276.02804978678773,627.4157717261598,903.7984348429017
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.205686544047774,300.7883370093822,680.5420944213575,920.4569416310115
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.29481384262020716,208.36273751241302,537.1372968760118,269.37979344354284
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.5362020425050299,163.9705329477606,435.50803323312334,189.77029928891997
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.5346883704903526,161.37900766224138,436.21315478330763,160.4798607096736
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.2948138202582752,208.36216746944262,537.1373088057092,269.3775008702984
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.3296637779497875,195.02468325088907,523.6726358271848,204.2970250013743
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.5414250616016321,161.67511884244837,433.0791651174523,173.75843882702227
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.5346497157313534,161.4055368363917,436.23147087479265,160.53889647001313
data_llama-13b,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.3296637838261083,195.0246178287883,523.6726348838234,204.296180989449
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.28329202735439785,260.53561541126834,679.2130140901869,246.9452947730572
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.5337602660751191,201.71888609935317,547.7058946098712,169.38193886683348
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.530343368658204,200.30826313490337,549.7047819580009,149.4397531417367
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.28329204517073225,260.53510168406683,679.2130072356911,246.944160040542
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.3214122061870864,243.94654046203593,660.8726713419408,201.3611094676554
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.5366776939574985,200.5088506484336,546.0255402794247,155.56917405755397
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.5303407266162005,200.3119498983809,549.7063475180164,149.45656126728235
data_llama-7b,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.3214122115061861,243.9464852571099,660.872669357666,201.36083406074923
