model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔR2_improve_mean,ΔR2_improve_std,ΔR2_improve_median,ΔR2_improve_min,ΔR2_improve_max,ΔRMSE_improve_mean,ΔRMSE_improve_std,ΔRMSE_improve_median,ΔRMSE_improve_min,ΔRMSE_improve_max
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.4375073471654345,0.0412858506174465,0.4423247690994908,0.3543175172347628,0.5076367609769326,572.4073659939854,36.65394988951545,577.0351743114734,505.6820384284948,639.1531347402903,-0.0006856432940157279,0.005895937031231835,4.766376621612963e-05,-0.0215131218286298,0.0110834434697818,0.35236176318870593,2.933879411764035,-0.02520020451993335,-4.809564938368567,11.512260595331329,-0.0006856432940157253,0.005895937031231851,4.766376621614943e-05,-0.0215131218286298,0.011083443469781795,-0.3523617631887059,2.933879411764035,0.025200204519933322,-11.512260595331327,4.809564938368567
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.43635615292887653,0.04201333831702036,0.4448178243518575,0.3501193278642583,0.5076910540646191,572.9831238570374,36.86395992166418,576.0436271518914,505.6541567813803,640.1340685922078,-0.001836837530573693,0.00843631202586333,0.00030879306829624997,-0.0348710330382245,0.0125893118948662,0.9281196262408723,4.269952029105025,-0.17446196270174139,-5.466253843736581,18.542696413038016,-0.0018368375305736965,0.008436312025863368,0.00030879306829634245,-0.034871033038224586,0.012589311894866229,-0.9281196262408723,4.269952029105025,0.1744619627017414,-18.542696413038016,5.466253843736581
data_llama-13b,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6058722521110093,0.01698330038797562,0.6070037698058887,0.5739968343515527,0.6314339837870133,401.44148011545883,15.577176720202822,401.9384570695807,370.4262674679055,433.2152688823441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_llama-13b,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6058625851084322,0.01698919940662941,0.6069989863430091,0.5739575098182985,0.6314391889330822,401.4462543156968,15.576414351144454,401.9400410631552,370.42534414776406,433.2152452659619,-9.667002577235401e-06,3.318028384747476e-05,-1.0728506854573716e-06,-0.0001513273451786,5.086281551913707e-05,0.004774200237979647,0.01644053242061344,0.0005327945977171,-0.0256181862469588,0.0742171774069788,-9.667002577236812e-06,3.318028384748099e-05,-1.0728506854573716e-06,-0.00015132734517864233,5.086281551913707e-05,-0.004774200237975871,0.016440532420616605,-0.0005327945977455784,-0.07421717740697886,0.025618186246958885
data_llama-13b,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6061210883249083,0.01691554283215421,0.6074587949762957,0.5753836256557259,0.6321640562567417,401.3098207254774,15.403312662925064,401.89314934290394,370.20886310171096,432.4876394906595,0.000248836213898951,0.001025798311964225,7.032848352633847e-05,-0.0019979471703692,0.0018788015237028,-0.13165938998140142,0.5208975108745858,-0.03583947662312425,-1.0137288802723106,1.025172863374905,0.0002488362138989582,0.0010257983119642668,7.032848352633847e-05,-0.001997947170369274,0.0018788015237028999,0.13165938998139762,0.5208975108745844,0.035839476623095834,-1.0251728633749053,1.0137288802723106
data_llama-13b,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6303725724604236,0.01695027026139135,0.6307487923403914,0.598133923057184,0.6583668856368787,388.68980658034855,13.677947751300954,388.88597446129086,365.15267518835753,415.9909107680782,0.024500320349414195,0.006809884032748807,0.02516104814353915,0.0049192607591608,0.0353487220201824,-12.751673535110319,3.7757427999762423,-13.106394913928852,-19.02379159425317,-2.4568653298136383,0.024500320349414247,0.006809884032748813,0.0251610481435392,0.004919260759160826,0.035348722020182466,12.751673535110308,3.7757427999762436,13.106394913928824,2.4568653298136383,19.02379159425317
data_llama-7b,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.617330941808523,0.012820916385792285,0.6146392152413596,0.5978992238326634,0.6434493137870051,496.10889468187054,10.779208867257532,494.06722604883475,476.8735552013157,520.5868636015958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_llama-7b,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6173214417727549,0.012820465936593063,0.6146393291996468,0.5978768524507867,0.6434462833749401,496.11502222612637,10.777150755736312,494.0792302076012,476.889546305582,520.5882555749627,-9.500035768069312e-06,1.8648528764636292e-05,-3.5665583412725077e-06,-9.138770304517596e-05,9.611117854801954e-06,0.006127544255809841,0.011998376924404952,0.00235042073646235,-0.0059778661231462,0.0588988559347853,-9.500035768069312e-06,1.8648528764636292e-05,-3.5665583412725077e-06,-9.138770304517596e-05,9.611117854801954e-06,-0.006127544255811775,0.011998376924405623,-0.002350420736462411,-0.05889885593478539,0.005977866123203057
data_llama-7b,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6176430530598294,0.01312104672213938,0.6150146773124487,0.5965543207308107,0.6445555160980995,495.898726676572,10.719303944223931,494.1948158369454,475.33470057248735,519.9716212997502,0.00031211125130644,0.0010248437086056348,0.00046247345395475,-0.0021466914137683,0.002494952888742,-0.21016800529855004,0.6588646155050631,-0.2951004995372841,-1.5388546288283464,1.316315664435649,0.0003121112513064683,0.001024843708605673,0.00046247345395478145,-0.0021466914137683313,0.002494952888742019,0.21016800529854435,0.6588646155050636,0.2951004995372841,-1.316315664435649,1.5388546288283464
data_llama-7b,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6532838942848106,0.01536185778210688,0.6527385792072712,0.6238207571771867,0.6877926799179002,472.11961531979455,9.571220874993617,471.5377798263029,456.0566427308284,493.7576052899779,0.035952952476287714,0.00757389891714469,0.03610256659491755,0.0137159419338308,0.047855512612563,-23.989279362075983,5.44893798745351,-23.900303429156963,-34.375014693307094,-8.607283319620535,0.03595295247628776,0.007573898917144686,0.03610256659491756,0.013715941933830855,0.047855512612563045,23.989279362075976,5.44893798745351,23.900303429156963,8.607283319620535,34.375014693307094
