umap_x,umap_y,tsne_x,tsne_y
-0.08709461,-13.549363,12.962983,14.191663
-0.12538597,-13.585033,12.935909,14.490031
-0.07509981,-13.573292,12.938674,14.7938
-0.068735406,-13.439889,12.892707,15.324965
-7.96335,7.4830794,5.3194647,25.67578
-7.962151,7.4913354,5.3220534,25.665792
-7.9269376,7.4513254,5.3290477,25.644218
-7.945188,7.489312,5.345018,25.589615
-7.9533777,7.492087,5.4333973,25.35013
-7.9751062,7.5067716,5.5501904,25.062754
-7.930783,7.4572134,5.670987,24.769386
-7.888692,7.4817405,5.854665,24.330635
-16.851732,-19.645582,-0.02758092,7.987483
-16.835754,-19.743563,-0.033539657,7.986154
-16.899914,-19.762749,-0.046185557,7.9841976
-16.799484,-19.877167,-0.07360511,7.9825263
-16.830444,-19.776558,-0.14101365,7.9878125
-16.79786,-19.76239,-0.31954357,8.023455
-16.85902,-19.800774,-0.6901286,8.077513
-16.837986,-19.82108,-1.3220794,8.102071
-17.096792,-19.249355,-18.435171,-6.213538
-17.060844,-19.216677,-18.43331,-6.2101026
-17.051464,-19.282978,-18.429707,-6.203305
-17.047379,-19.231594,-18.42417,-6.1867013
-17.034046,-19.219587,-18.408175,-6.147973
-17.162573,-19.148428,-18.36957,-6.0467124
-17.150917,-19.11688,-18.286322,-5.805627
-17.150911,-18.97655,-18.152555,-5.3808713
-2.6763964,-12.850393,5.14809,11.249653
-2.6213863,-12.907,5.147975,11.256137
-2.6183145,-12.906226,5.147635,11.268913
-2.6806262,-12.838745,5.146884,11.2953
-2.6520348,-12.872496,5.1449647,11.351699
-2.6444652,-12.880679,5.139116,11.474164
-2.6499743,-12.87449,5.129267,11.727861
-2.6200864,-12.903337,5.1378193,12.183467
-16.940687,-19.8161,-0.3054183,7.3499646
-16.99266,-19.825472,-0.31091374,7.349905
-16.971815,-19.78392,-0.32236984,7.35428
-17.013594,-19.889294,-0.3456508,7.3606453
-16.906948,-19.831934,-0.40980223,7.373974
-17.008179,-19.907879,-0.5680765,7.434578
-16.822224,-19.841948,-0.8965827,7.5698056
-17.109875,-19.898338,-1.4561591,7.7543597
-17.176441,-19.179966,-17.96546,-6.7841
-17.205757,-19.211124,-17.964115,-6.780207
-17.228891,-19.109364,-17.962112,-6.7725515
-17.133738,-19.200432,-17.954506,-6.7562733
-17.15831,-19.165812,-17.931726,-6.7179317
-17.243937,-19.105,-17.857939,-6.612009
-17.129385,-19.05906,-17.707598,-6.3246174
-17.160751,-18.994999,-17.617216,-5.695164
-17.491022,-17.60966,-0.7346109,6.27246
-17.491106,-17.606575,-0.73711944,6.275918
-17.489794,-17.61298,-0.74195933,6.282899
-17.484804,-17.58264,-0.75430596,6.296009
-17.456076,-17.630968,-0.7864707,6.3220043
-17.487041,-17.61566,-0.88231385,6.370647
-17.486168,-17.6241,-1.1563385,6.5012946
-17.521294,-17.809374,-1.6475781,6.829462
-16.155087,-12.527542,-17.322018,-7.9566326
-16.180527,-12.544815,-17.32094,-7.958017
-16.19597,-12.557913,-17.318726,-7.9610357
-16.181421,-12.546096,-17.313448,-7.9666896
-16.177103,-12.526437,-17.297907,-7.978159
