umap_x,umap_y,tsne_x,tsne_y,median_itl,median_itl_oof_pred,median_itl_resid
-16.899914,-19.762749,-0.046185557,7.9841976,21.0,21.64,-0.6400000000000006
-16.799484,-19.877167,-0.07360511,7.9825263,22.0,22.745,-0.745000000000001
-16.830444,-19.776558,-0.14101365,7.9878125,23.0,28.64,-5.640000000000001
-16.79786,-19.76239,-0.31954357,8.023455,23.0,36.31,-13.310000000000002
-16.85902,-19.800774,-0.6901286,8.077513,23.0,42.2,-19.200000000000003
-16.837986,-19.82108,-1.3220794,8.102071,23.0,71.1,-48.099999999999994
-17.096792,-19.249355,-18.435171,-6.213538,15.0,16.56,-1.5599999999999987
-17.060844,-19.216677,-18.43331,-6.2101026,17.0,16.41,0.5899999999999999
-17.051464,-19.282978,-18.429707,-6.203305,17.0,17.34,-0.33999999999999986
-17.047379,-19.231594,-18.42417,-6.1867013,18.0,19.675,-1.6750000000000007
-17.034046,-19.219587,-18.408175,-6.147973,24.0,23.34,0.6600000000000001
-17.162573,-19.148428,-18.36957,-6.0467124,47.0,38.465,8.534999999999997
-17.150917,-19.11688,-18.286322,-5.805627,84.0,54.465,29.534999999999997
-17.150911,-18.97655,-18.152555,-5.3808713,182.0,84.82,97.18
-2.6763964,-12.850393,5.14809,11.249653,27.0,26.585,0.41499999999999915
-2.6213863,-12.907,5.147975,11.256137,30.0,29.735,0.26500000000000057
-2.6183145,-12.906226,5.147635,11.268913,31.0,30.88,0.120000000000001
-2.6806262,-12.838745,5.146884,11.2953,32.0,32.88,-0.8800000000000026
-2.6520348,-12.872496,5.1449647,11.351699,34.0,39.475,-5.475000000000001
-2.6444652,-12.880679,5.139116,11.474164,37.0,47.545,-10.545000000000002
-2.6499743,-12.87449,5.129267,11.727861,36.0,64.16,-28.159999999999997
-2.6200864,-12.903337,5.1378193,12.183467,38.0,102.905,-64.905
-16.940687,-19.8161,-0.3054183,7.3499646,25.0,25.545,-0.5450000000000017
-16.99266,-19.825472,-0.31091374,7.349905,29.0,28.155,0.8449999999999989
-16.971815,-19.78392,-0.32236984,7.35428,30.0,30.28,-0.28000000000000114
-17.013594,-19.889294,-0.3456508,7.3606453,31.0,31.405,-0.40500000000000114
-16.906948,-19.831934,-0.40980223,7.373974,34.0,33.705,0.2950000000000017
-17.008179,-19.907879,-0.5680765,7.434578,52.0,41.83,10.170000000000002
-16.822224,-19.841948,-0.8965827,7.5698056,71.0,61.335,9.665
-17.109875,-19.898338,-1.4561591,7.7543597,139.0,88.855,50.144999999999996
-17.176441,-19.179966,-17.96546,-6.7841,19.0,18.11,0.8900000000000006
-17.205757,-19.211124,-17.964115,-6.780207,24.0,20.615,3.3850000000000016
-17.228891,-19.109364,-17.962112,-6.7725515,24.0,23.315,0.6849999999999987
-17.133738,-19.200432,-17.954506,-6.7562733,25.0,24.01,0.9899999999999984
-17.15831,-19.165812,-17.931726,-6.7179317,27.0,26.21,0.7899999999999991
-17.243937,-19.105,-17.857939,-6.612009,39.0,41.64,-2.6400000000000006
-17.129385,-19.05906,-17.707598,-6.3246174,61.0,60.965,0.03499999999999659
-17.160751,-18.994999,-17.617216,-5.695164,93.0,124.4,-31.400000000000006
-17.491022,-17.60966,-0.7346109,6.27246,26.0,26.81,-0.8099999999999987
-17.491106,-17.606575,-0.73711944,6.275918,30.0,28.795,1.2049999999999983
-17.489794,-17.61298,-0.74195933,6.282899,31.0,29.925,1.0749999999999993
-17.484804,-17.58264,-0.75430596,6.296009,33.0,30.42,2.5799999999999983
-17.456076,-17.630968,-0.7864707,6.3220043,36.0,34.615,1.384999999999998
-17.487041,-17.61566,-0.88231385,6.370647,47.0,43.74,3.259999999999998
-17.486168,-17.6241,-1.1563385,6.5012946,66.0,60.645,5.354999999999997
-17.521294,-17.809374,-1.6475781,6.829462,89.0,93.075,-4.075000000000003
-16.155087,-12.527542,-17.322018,-7.9566326,18.0,18.53,-0.5300000000000011
-16.180527,-12.544815,-17.32094,-7.958017,23.0,21.17,1.8299999999999983
-16.19597,-12.557913,-17.318726,-7.9610357,24.0,23.29,0.7100000000000009
-16.181421,-12.546096,-17.313448,-7.9666896,25.0,24.11,0.8900000000000006
-16.177103,-12.526437,-17.297907,-7.978159,27.0,26.325,0.6750000000000007
-16.197693,-12.553986,-17.24874,-8.008993,34.0,36.255,-2.2550000000000026
-16.169321,-12.536985,-17.095322,-8.107065,48.0,53.53,-5.530000000000001
-16.200592,-12.590436,-16.754711,-8.33909,76.0,88.205,-12.204999999999998
0.3153599,-13.617675,13.803323,14.219452,27.0,26.69,0.3099999999999987
0.30274,-13.597343,13.801989,14.22701,30.0,30.245,-0.245000000000001
0.3274734,-13.626996,13.800129,14.2469845,32.0,31.62,0.379999999999999
0.33561695,-13.627935,13.795396,14.284101,35.0,34.095,0.9050000000000011
0.27605525,-13.578391,13.787398,14.361785,45.0,39.715,5.284999999999997
0.32703403,-13.626094,13.766089,14.50824,55.0,50.905,4.094999999999999
0.24107465,-13.544183,13.730601,14.756759,59.0,89.615,-30.614999999999995
0.1586117,-13.488794,13.657166,15.193232,71.0,179.8,-108.80000000000001
-8.170662,7.6591,4.7579694,25.085283,29.0,28.61,0.39000000000000057
-8.184165,7.665698,4.7627325,25.074198,34.0,33.345,0.6550000000000011
-8.137841,7.626276,4.7731595,25.050621,34.0,34.125,-0.125
-8.101902,7.5876355,4.7964873,25.000748,36.0,36.095,-0.09499999999999886
-8.194761,7.678742,4.8452888,24.903212,44.0,40.945,3.0549999999999997
-8.115565,7.605268,4.9265428,24.76228,45.0,47.745,-2.7449999999999974
-8.170578,7.6528263,5.040141,24.563614,49.0,64.335,-15.334999999999994
-8.113012,7.600355,5.227824,24.217192,62.0,109.755,-47.754999999999995
14.810696,-2.7592642,-22.932604,-9.965575,19.0,20.795,-1.7950000000000017
14.767391,-2.6929495,-22.941065,-9.97123,20.0,21.075,-1.0749999999999993
14.769124,-2.7052982,-22.955862,-9.982393,21.0,22.48,-1.4800000000000004
14.714767,-2.6450849,-22.987112,-10.008226,23.0,25.635,-2.6350000000000016
14.816015,-2.757937,-23.051443,-10.064804,28.0,30.79,-2.789999999999999
14.721388,-2.6457803,-23.159246,-10.17908,34.0,46.9,-12.899999999999999
14.74064,-2.670863,-23.319197,-10.367923,43.0,64.58,-21.58
14.51702,-2.4025753,-23.577122,-10.684813,40.0,100.53,-60.53
12.378001,-17.567204,1.6583003,1.4999553,35.0,38.805,-3.8049999999999997
12.364657,-17.594082,1.6634142,1.5036713,40.0,38.88,1.1199999999999974
12.418006,-17.545685,1.6739118,1.5121158,41.0,40.68,0.3200000000000003
12.386534,-17.5701,1.695248,1.5279107,42.0,42.515,-0.5150000000000006
12.474525,-17.558744,1.7394422,1.5617881,45.0,46.12,-1.1199999999999974
12.458446,-17.502098,1.8283587,1.6367168,48.0,45.065,2.9350000000000023
12.5102215,-17.533218,1.98199,1.7889693,50.0,70.915,-20.915000000000006
12.61804,-17.499031,2.2298467,2.0603006,52.0,109.715,-57.715
14.656923,-2.578199,-22.528315,-10.357571,24.0,24.33,-0.3299999999999983
14.699266,-2.6149392,-22.536581,-10.365662,30.0,27.02,2.9800000000000004
14.6597,-2.572411,-22.551184,-10.379134,31.0,28.995,2.004999999999999
14.595401,-2.5030591,-22.58455,-10.410312,32.0,30.235,1.7650000000000006
14.623836,-2.5375848,-22.664942,-10.484126,34.0,33.1,0.8999999999999986
