model_n_parameters,model_n_layers,model_n_heads,model_n_positions,model_vocabulary_size,model_relative_attention_max_distance,model_relative_attention_n_buckets,model_is_flash_attention,model_is_encoder_decoder,model_type_codegen,model_type_gpt_bigcode,model_type_gpt_neox,model_type_llama,model_type_mpt,model_type_mt5,model_type_t5,model_torch_dtype_bfloat16,model_torch_dtype_float16,model_torch_dtype_float32,gpu_n_cuda_cores,gpu_n_tensor_cores,gpu_n_rt_cores,gpu_architecture_Ampere,gpu_architecture_Hopper,gpu_architecture_Turing,gpu_architecture_Volta,n_input_tokens,reqnum,Target_throughput_tokens_per_sec
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,96.0,32,387.59539691706624
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,91.0,33,117.11701160629585
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,89.0,17,216.69937037898532
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,244.0,34,58.9289026090041
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,85.0,18,119.5898410138485
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,88.0,19,156.52151228766337
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,89.0,12,106.13426861317566
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,140.0,13,48.77819972116846
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,86.0,20,110.3016542126387
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,457.0,34,2021.825232204226
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,161.0,21,283.05036771124117
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,84.0,36,178.38734410404098
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,364.0,22,260.68357501169874
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,92.0,25,114.40233462478588
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,67.0,27,231.74529604667924
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,28,76.04985692411246
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,17.0,37,49.048280345329175
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,88.0,29,208.49380599651352
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,38,203.8091356016465
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,83.0,39,188.64434314222865
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,88.0,30,165.64391772405256
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,67.0,41,121.00122252959316
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,364.0,31,362.64699669356605
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,84.0,42,144.64513957560558
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,93.0,35,164.72279194928285
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,364.0,43,3024.7683903438815
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,92.0,44,195.1216112863915
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,85.0,36,116.92637313321475
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,563.0,45,364.7327026233758
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,32,173.7010167191287
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,6.0,47,31.58486656239901
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,84.0,37,159.26468719037183
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,15.0,33,50.980352172272816
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,39.0,38,606.0514234632808
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,84.0,39,201.9413554536787
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,48,326.92098127576105
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,216.0,50,58.28939091101436
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,40,62.03697959538926
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,58.0,41,154.58899857729813
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,335.0,42,710.5248774800051
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,11.0,43,95.23752834804554
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,96.0,44,531.2472330873277
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,216.0,46,68.11957232775305
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,34,122.71039796630409
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,161.0,35,630.1863011837692
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,88.0,14,117.0096240415774
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,345.0,36,817.7657909663077
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,88.0,15,109.2011029311396
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,140.0,37,593.4935223840554
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,140.0,38,155.99625248309064
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,79.0,16,358.648275745672
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,182.0,19,659.6468082568133
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,732.0,39,201.41529629414907
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,161.0,40,433.58287322588166
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,244.0,41,163.33324259264302
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,100.0,20,410.85112073209024
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,732.0,21,415.87983571358376
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,79.0,22,119.854576447244
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,52.0,23,65.42695218529464
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,51,26.703262614608786
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,53,140.7892884351468
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,100.0,43,203.73479841290592
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,31.0,44,463.76139476239473
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,161.0,54,548.3853277892653
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,874.0,24,99.53134350241648
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,91.0,25,145.8605179231039
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,90.0,27,112.87302903635351
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,46,176.27648059887875
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,109.0,55,129.62950960230592
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,47,53.68585441838589
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,47.0,29,94.90071543808013
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,161.0,30,667.9973280106881
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,67.0,33,315.06705448833566
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,123.0,57,359.33047540257553
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,93.0,48,98.92630450436772
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,140.0,62,109.06997183124464
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,364.0,35,278.93983337529056
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,36,155.29730726080223
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,100.0,49,195.12163394856267
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,58.0,63,80.15261057052628
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,93.0,50,219.8439302647271
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,15.0,37,45.582015720886595
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,92.0,49,154.69591892828876
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,89.0,51,212.47521934655097
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,87.0,38,108.73972689052144
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,52.0,50,465.5132283342385
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,90.0,39,95.48602822393384
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,109.0,51,115.90718152903158
13.0,24,64,-1.0,250112,128.0,32.0,0,1,0,0,0,0,0,1,0,0,0,1,6912,432,0,1,0,0,0,732.0,64,463.4293402401105
